name,level,city,location,longitude,latitude,description,image_url,ticket_price,rating,opening_hours,season_best
毕棚沟,4A,阿坝藏族羌族自治州,四川省阿坝州理县,102.9,31.3,藏语意为“神秘的山沟”，以雪山、彩林、瀑布和红石滩闻名，流传着猎人阿强与龙女的守护传说，如今更是游客邂逅川西美景、治愈心灵的地方。这片藏羌秘境，早已不是单纯的风景，而是藏着温柔与信仰的治愈之地。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/bipenggou.jpg,70,4.6,08:00-17:30,秋季（10-11月）
达古冰川,4A,阿坝藏族羌族自治州,四川省阿坝州黑水县,102.8,32.2,全球海拔最低的现代冰川，4860米之巅的观景台见证了无数坚持与感动，巡山队员们用“盖被子”的方式守护冰川，让这片冰雪秘境始终保持纯净。每一片雪花都在诉说，人类与自然的守护，从来都是双向奔赴。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/dagubingchuan.jpg,120,4.5,08:30-17:00,秋季至冬季（10-2月）
黄河九曲第一湾,4A,阿坝藏族羌族自治州,四川省阿坝州若尔盖县,102.4,33.3,黄河在此画出一道“S”形曲线，传说黄河姑娘为守护草原在此回眸，73名藏族“阿妈啦”自发组成护河队，用脚步守护着母亲河的蜿蜒。落日熔金时，黄河的曲线里，藏着草原儿女对母亲河最绵长的眷恋。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/huanghejiuqu.jpg,65,4.6,07:00-19:00,夏季（6-8月）
黄龙,5A,阿坝藏族羌族自治州,四川省阿坝州松潘县,103.8,32.7,钙华彩池如人间瑶池，传说十八位姑娘为草原寻水牺牲，化作望乡台守护这片土地，如今景区工作人员的暖心救助，让这里的美景与善意同样动人。每一池碧水，都映照着自然的馈赠，也映照着人间的温暖。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/huanglong.jpg,170,4.6,08:00-17:00,秋季（9-10月）
九寨沟,5A,阿坝藏族羌族自治州,四川省阿坝州九寨沟县,103.9,33.2,传说女神色嫫的宝镜碎裂成108个海子，成就了这片童话世界，历经地震涅槃重生，如今的九寨依旧清澈，藏着无数守护与重建的温暖故事。重生后的九寨，比从前多了一份坚韧，也让每一滴湖水都有了故事。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/jiuzhaigou.jpg,190,4.7,08:30-17:00,秋季（10-11月）
莲宝叶则,4A,阿坝藏族羌族自治州,四川省阿坝州阿坝县,101.3,32.8,藏语意为“尊严的玉石之峰”，相传是格萨尔王征战的古战场，神山莲宝叶则化身牛心石，永世守护着这片怪石嶙峋的秘境。这里的每一块石头，都像是沉默的卫士，守着千年的传说与信仰。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/lianbaoyeze.jpg,120,4.4,08:00-18:00,夏季（6-8月）
若尔盖花湖,4A,阿坝藏族羌族自治州,四川省阿坝州若尔盖县,102.7,33.9,高原湿地的“天空之镜”，如科父子接力守护黑颈鹤十八年，每年春天，迁徙的鹤群归来时，这里便奏响人与自然共生的温柔乐章。当鹤鸣掠过湖面，这片湿地的温柔，早已写进了人与自然的约定里。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/ruoergaihuahu.jpg,75,4.5,07:30-19:00,夏季（6-8月）
四姑娘山,4A,阿坝藏族羌族自治州,四川省阿坝州小金县,102.9,31.1,被称为“东方圣山”，传说四位姑娘为守护家园化作雪山，如今这里的每一座雪峰都见证着登山者的勇气，也藏着救援人员的坚守与守护。四座雪山并肩而立，既是信仰的象征，也守护着无数人的山野梦想。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/siguniangshan.jpg,80,4.6,08:00-17:30,秋季（10-11月）
汶川特别旅游区,5A,阿坝藏族羌族自治州,四川省阿坝州汶川县,103.5,31.4,从地震废墟中涅槃重生，映秀的老地方餐馆常年为困难游客提供免费餐食，这里的每一处风景都承载着重生的力量与感恩的温情。这里的一砖一瓦，都在诉说着“多难兴邦”的故事，也让每一次到访都成为一次心灵的洗礼。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/wenchuan.jpg,0,4.5,09:00-17:00,全年
川陕革命根据地红军烈士陵园,4A,巴中市,巴中市通江县,107.34,32.11,全国规模最大、安葬红军烈士最多的陵园，是重要的红色教育基地，被誉为“川陕忠魂纪念地”。这里安葬着25000余名红军烈士，是无数革命先烈用鲜血铸就的不朽丰碑。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/chunshan.jpg,0,4.7,09:00-17:00（周一闭馆）,全年
恩阳古镇,4A,巴中市,巴中市恩阳区,106.63,31.79,始建于南北朝，拥有1500多年历史，是米仓古道上的重要水码头，有“小上海”之称，明清古建筑保存完好。古镇至今保留着原汁原味的川北民俗，青石板路、吊脚楼与老茶馆构成了一幅鲜活的川东北水乡画卷。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/enyangguzhen.jpg,0,4.3,全天开放,春秋季
光雾山,5A,巴中市,巴中市南江县,106.80,32.65,被誉为“中国红叶第一山”，以喀斯特地貌、原始森林和绝美红叶景观闻名，是世界地质公园核心区。这里四季皆景，春赏杜鹃、夏避酷暑、秋观红叶、冬赏雾凇，是川东北的天然氧吧和摄影天堂。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/guangwushan.jpg,80,4.7,08:00-18:00,秋季（10-11月）
空山天盆,4A,巴中市,巴中市通江县,107.38,32.48,罕见的高山岩溶盆地景观，被誉为“世外桃源、人间仙境”，兼具自然风光与红色文化遗迹。这里四周群山环抱，中间是开阔平坦的高山草甸，云海翻涌时宛如仙境，是川北地区难得的高原风光秘境。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/kongshantianpen.jpg,0,4.2,全天开放,夏季（6-8月）
南龛石窟,4A,巴中市,巴中市巴州区,106.76,31.84,始凿于隋、盛于唐，现存176龛2700余尊造像，被誉为“盛唐彩雕，全国第一”，是全国重点文物保护单位。石窟造像风格多样、雕刻精美，色彩至今仍鲜艳夺目，是研究唐代巴蜀佛教艺术的重要实物资料。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/nankanshiku.jpg,40,4.4,08:30-17:30,全年
诺水河风景区,4A,巴中市,巴中市通江县,107.19,32.38,拥有128个喀斯特溶洞群，以“诺水洞天”奇观著称，是光雾山-诺水河世界地质公园核心区。洞内钟乳石千姿百态、地下河蜿蜒流淌，中峰洞、狮子洞等景点更是被誉为“天下第一洞”，宛如一座地下艺术宫殿。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/nuoshuihe.jpg,120,4.3,08:30-17:30,夏季（6-9月）
成都博物馆,国家一级博物馆,成都市,成都市青羊区,104.06,30.66,成都市规模最大的综合性博物馆，馆藏近20万件文物，以古蜀文明、秦汉三国、唐宋成都、明清民俗等主题展览为核心，完整展现了成都从先秦到近现代的千年历史脉络。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/chengdubowuguan.jpg,0,4.6,09:00-17:00（周一闭馆）,全年
成都动物园,4A,成都市,成都市成华区,104.09,30.68,西南地区规模较大、历史最悠久的城市动物园之一，饲养着大熊猫、金丝猴、长颈鹿、亚洲象等近300种、3000余只珍稀野生动物，集动物保护、科普教育、休闲游览于一体。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/chengdudongwuyuan.jpg,20,4.4,08:00-17:30,全年
春熙路,国家级步行街,成都市,成都市锦江区,104.07,30.66,成都最繁华的商业步行街，百年商脉与现代潮流在此交汇，汇聚了国际大牌、潮牌门店、网红美食和特色商圈，是成都潮流文化的核心地带。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/chunxilu.jpg,0,4.6,全天开放,全年
东郊记忆,4A,成都市,成都市成华区,104.11,30.66,由原国营红光电子管厂改造而成的工业风文创园区，完整保留了苏式建筑、工业管道、老旧机床等大量工业遗迹，是集音乐、文创、展览、餐饮、娱乐于一体的潮流打卡地。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/dongjiaojiyi.jpg,0,4.5,10:00-22:00,全年
都江堰-青城山,5A,成都市,成都市都江堰市,103.52,30.90,青城山是中国道教发源地之一，以“青城天下幽”闻名，清幽山林与道教宫观相映成趣，是自然景观与人文底蕴兼具的世界级景区。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/sceneries/dujiangyanqingchengshan.jpg,80,4.6,08:00-17:30,春秋季
