name,category,city,location,longitude,latitude,description,image_url,avg_price,tags
洋芋糍粑,羌族小吃,阿坝州,四川省阿坝州理县/茂县,103.2,31.4,高原土豆经石臼捶打至黏糯拉丝，可搭配酸菜红油或蜂蜜食用，酸辣开胃，口感软糯弹牙,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/yangyuciba.jpg,20,"羌族小吃,酸辣开胃,软糯弹牙"
藏式牦牛肉火锅,藏式火锅,阿坝州,四川省阿坝州理县/九寨沟县,103.9,33.2,铜锅菌汤底搭配鲜切牦牛肉、野生菌与青稞饼，暖身扛饿，肉质软烂鲜香，是高原必尝的热食,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/zangshimaoniurouhuoguo.jpg,80,"藏式火锅,牦牛肉,暖身扛饿"
酸菜面块,藏族面食,阿坝州,四川省阿坝州松潘县/阿坝县,103.6,32.6,以秘制酸菜、牦牛肉、土豆与手工面块炖煮而成，酸辣绵柔，暖脾开胃，是阿坝州家常主食,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/suancaimiankuai.jpg,25,"藏族面食,酸辣绵柔,家常主食"
牛肉盖被,藏式特色主食,阿坝州,四川省阿坝州红原县/若尔盖县,102.4,33.3,藏语称“夏木”，将牦牛肉末与土豆泥炒制后，用薄饼包裹蒸制，形似“被子盖着牛肉”，肉香浓郁，软糯入味,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/niurougaibei.jpg,50,"藏式主食,肉香浓郁,软糯入味"
酥油茶+糌粑,藏族传统主食,阿坝州,四川省阿坝州全域,102.9,32.7,酥油茶咸香醇厚，糌粑由青稞粉制成，搭配食用可快速补充能量，是藏族人日常必备的高原“能量餐”,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/suyouchazanba.jpg,30,"藏族主食,酥油茶,糌粑"
羌族老腊肉,特色腊味,阿坝州,四川省阿坝州茂县/汶川县,103.6,31.6,选用本地猪肉经传统工艺腌制熏制，肉质紧实咸香，肥而不腻，可搭配高山野菜炒制，是羌寨宴席必备菜,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/qiangzulaolarou.jpg,40,"羌族腊味,咸香紧实,宴席必备"
恩阳提糖麻饼,传统糕点,巴中市,巴中市恩阳区,106.63,31.79,巴中市级非物质文化遗产，是恩阳古镇的招牌伴手礼。采用传统工艺烤制，外皮金黄酥脆、沾满芝麻，内馅是熬煮的红糖，咬开能看到拉丝，甜而不腻，带着浓郁的芝麻香，是当地百年传承的味道。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/enyangtitangmabing.jpg,8,"传统糕点,非遗,芝麻红糖"
南江黄羊汤锅,特色汤锅,巴中市,巴中市南江县,106.80,32.65,国家地理标志保护产品，选用大巴山放养的南江黄羊，肉质细嫩、膻味极淡。慢炖出的汤色奶白浓郁，入口鲜醇不腻，冬天喝一碗从头暖到脚，是巴中宴席和家常餐桌上的硬菜。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/nanjianghuangyangtangguo.jpg,70,"特色汤锅,黄羊,鲜醇不腻"
通江银耳莲子羹,滋补甜品,巴中市,巴中市通江县,107.19,32.38,通江是“中国银耳之乡”，这里的椴木银耳胶质丰富、口感软糯。搭配莲子、冰糖慢炖后，汤色清亮、清甜润喉，是解辣解腻、日常滋补的经典甜品，也是当地特色养生美食。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/tongjiangyinErlianzigeng.jpg,20,"滋补甜品,银耳,清甜润喉"
巴中罐罐饭,特色主食,巴中市,巴中市巴州区,106.76,31.84,巴中人的“童年味道”，用瓦罐小火焖煮而成。底层的米饭烤出焦脆锅巴，上层铺上腊肉、豌豆、土豆等配料，米饭吸满肉香和菜香，锅巴焦脆入味，咸香浓郁，性价比超高。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/bazhongguanguanfan.jpg,18,"特色主食,罐罐饭,焦脆锅巴"
枣林鱼,特色河鲜,巴中市,巴中市巴州区,106.72,31.82,源自巴河的船家特色菜，选用新鲜河鱼，搭配腊肉、泡椒、酸菜一起炖煮。鱼肉细嫩入味，汤汁酸辣鲜香，带着腊肉的醇厚和泡椒的爽利，是巴中招待亲友的招牌菜，被誉为“巴河一绝”。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/zaolinyu.jpg,65,"特色河鲜,酸辣鲜香,巴河一绝"
魏油茶（油茶馓子）,早餐小吃,巴中市,巴中市巴州区,106.76,31.84,上过央视的巴中早餐灵魂，是当地流传已久的传统早餐。用大米和黄豆磨成米糊打底，撒上炸得金黄酥脆的馓子，口感绵密又酥脆，咸香适口，暖身又解腻，是当地人早起必吃的一碗热乎滋味。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/weiyoucha.jpg,8,"早餐小吃,油茶,绵密酥脆"
龙抄手,传统小吃,成都市,成都市锦江区,104.07,30.66,成都经典名小吃，皮薄如纸、馅嫩味鲜，汤汁清亮鲜香，搭配红油或清汤食用，口感爽滑不腻，是成都人早餐的经典选择，也是外地游客必尝的川味代表。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/longchaoshou.jpg,20,"传统小吃,皮薄馅嫩,红油清汤"
钟水饺,传统小吃,成都市,成都市锦江区,104.07,30.66,成都百年老字号小吃，水饺个头小巧，皮薄馅嫩，搭配特制红油、酱油和芝麻调味，甜咸微辣、香气浓郁，红油红亮诱人，是地道的川味面食代表。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/zhongshuijiao.jpg,15,"传统小吃,红油水饺,甜咸微辣"
夫妻肺片,经典凉菜,成都市,成都市成华区,104.09,30.68,以牛头皮、牛心、牛舌等为原料，经卤制切片后，淋上红油、花椒、芝麻等调料，色泽红亮、麻辣鲜香、口感脆嫩，是川菜中的经典凉菜，也是成都宴席上的常客。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/fuqifeipian.jpg,40,"经典凉菜,麻辣鲜香,脆嫩"
担担面,传统面食,成都市,成都市青羊区,104.06,30.67,四川传统面食，面条细滑筋道，搭配肉末、芽菜、花生碎和红油酱汁，麻辣鲜香、咸香适口，干拌食用，是成都街头巷尾都能吃到的地道川味面食。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/dandanmian.jpg,15,"传统面食,麻辣咸香,干拌"
糖油果子,传统糕点,成都市,成都市锦江区,104.07,30.66,成都街头的传统小吃，糯米面团炸至金黄酥脆，裹上熬煮的红糖，撒上白芝麻，外酥里糯、香甜可口，带着浓郁的红糖香，是老成都人记忆里的味道。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/tangyouguozi.jpg,8,"传统糕点,外酥里糯,红糖"
三大炮,传统小吃,成都市,成都市青羊区,104.06,30.67,成都非遗美食，将糯米团用力甩向铜盘，发出“砰砰砰”三声脆响，再裹上红糖和黄豆粉，软糯香甜、口感细腻，兼具观赏性与美味，是宽窄巷子等景区的招牌小吃。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/sandapao.jpg,12,"传统小吃,非遗,软糯香甜"
灯影牛肉,传统零食/非遗美食,达州市,达州市通川区,107.49,31.22,国家级非物质文化遗产，薄如蝉翼、透光见影，色泽红亮油润，入口麻辣酥脆、化渣留香，是达州最具代表性的伴手礼和特色零食。,cloud://cloud1-d2gphu7bt75dc5910.636c-cloud1-d2gphu7bt75dc5910-1464549430/foods/dengyingniurou.jpg,45,"非遗零食,薄如蝉翼,麻辣酥脆"
